origin,origin_avg_dep_delay,origin_avg_taxi_out,origin_avg_wheels_off,origin_avg_wheels_on,origin_avg_taxi_in,origin_avg_arr_delay,origin_avg_crs_elapsed_time,origin_avg_actual_elapsed_time,origin_avg_air_time,origin_avg_carrier_delay,origin_avg_weather_delay,origin_avg_nas_delay,origin_avg_security_delay,origin_avg_late_aircraft_delay,origin_avg_total_add_gtime,origin_avg_longest_add_gtime
HIB,-1.86484245439469,17.226368159204,954.825870646766,1010.15671641791,5.63764510779436,-9.19154228855721,67.9427860696517,60.6160862354892,37.7520729684909,2.15116279069767,6.24418604651163,11.1395348837209,0.0,24.5697674418605,,
HLN,-0.18434896975011,17.6319596668128,1144.27181060938,1280.26830337571,7.79767645769399,-3.09338009644893,111.674046470846,108.765015344147,83.3353792196405,6.42622950819672,1.32786885245902,18.7409836065574,0.00655737704918033,14.3737704918033,30.6666666666667,30.6666666666667
HNL,0.384005336495701,15.6154650842106,1394.7151484028,1345.03776402005,6.83353779730488,-1.81412133115921,163.386664319597,161.188537651942,142.086426445275,19.4730685527748,0.657145447950671,4.27566195139645,0.396626768226333,10.215451577802,21.7670682730924,21.7469879518072
HOB,-2.09646539027982,13.5618556701031,977.996318114875,1193.86966126657,8.68777614138439,-2.10972017673049,98.6369661266568,98.6237113402062,76.3740795287187,6.94478527607362,1.44171779141104,20.3496932515337,0.0,11.9570552147239,42.5,42.5
HOU,9.79681999064703,11.0585531133915,1396.60158118112,1485.25502722067,5.6358430465972,2.40704825602428,121.123697422639,113.733925688017,97.039529528028,16.0912765087871,1.18200808319332,6.70755188229417,0.220970891421825,16.1385041551247,16.4972222222222,16.4555555555556
HPN,4.99995473884313,16.1734689265537,1255.87073446328,1415.43498305085,9.08840677966102,-0.485016949152542,143.432,137.972338983051,112.710463276836,12.2418240442193,1.33832335329341,12.9343620451405,0.0829111008751727,19.4645324735145,27.3473684210526,26.9684210526316
HRL,3.00778158797151,11.8910721350389,1312.58222339444,1404.26361598312,7.45087696162469,-0.806277198997758,79.5027034155348,75.6890412765396,56.347092179876,6.43792517006803,1.53401360544218,12.4277210884354,0.0,21.125,21.7,21.7
HSV,1.88865474148493,15.6112118390748,1222.39760866369,1403.72739746166,10.8752388886167,-1.72852452589798,107.201352477091,103.584358308424,77.0979075807321,8.84544836956522,1.43002717391304,13.5482336956522,0.0264945652173913,21.2680027173913,26.3541666666667,26.3541666666667
HTS,3.80803880803881,12.3270963270963,1217.19404019404,1310.07692307692,13.4774774774775,0.16042966042966,90.9213444213444,87.2737352737353,61.4691614691615,10.251572327044,2.36058700209644,7.35849056603774,0.0691823899371069,23.3186582809224,24.0,24.0
HVN,-0.0542553191489362,12.1531914893617,1155.87340425532,1234.02234042553,7.32659574468085,-2.90425531914894,70.2446808510638,67.3946808510638,47.9148936170213,8.53007518796992,0.996240601503759,18.8233082706767,0.0,24.2556390977444,41.0,41.0
HYA,10.0696202531646,10.5822784810127,1334.57594936709,1404.72784810127,7.74683544303798,3.60126582278481,66.0886075949367,59.620253164557,41.2911392405063,7.70588235294118,0.0,18.0882352941176,0.176470588235294,19.1470588235294,,
HYS,-1.88742345737164,14.016486104569,1446.65708902496,1436.85492227979,7.28356099858691,-4.63447951012718,63.2416391898257,60.4945831370702,39.1945360339143,7.98013245033113,1.31456953642384,9.05298013245033,0.0,33.9139072847682,14.0,14.0
IAD,3.06222722313148,20.7355807201259,1432.44504735876,1497.3658016898,7.05147246828071,-1.58628272072819,145.523020278755,140.876446757615,113.089393569209,12.6604794781945,3.23810845505326,14.8354786108316,0.0523540228289907,14.7890920445478,33.2023346303502,32.9208819714656
IAG,3.66456494325347,13.797604035309,1218.7446406053,1434.88965952081,7.33417402269861,-0.0851197982345523,157.810844892812,154.061160151324,132.929382093317,9.31353135313531,3.37623762376238,15.0759075907591,0.0,16.993399339934,13.0,13.0
IAH,4.72838314144761,19.2458793183892,1436.03655426799,1582.31143168193,7.16717774758569,0.506650898964438,142.969581637474,138.746605591274,112.333548525299,13.5092905117453,3.06048208380212,13.2577136817701,0.0259111520234564,15.1497050901776,26.9602787456446,26.7296167247387
ICT,2.0,14.1257663180671,1248.04548323116,1364.14826000721,9.67882257482871,-2.08754056978002,113.720834835918,109.633294266138,85.828705373242,8.07084893882647,1.97222222222222,13.1526217228464,0.0390137328339576,21.7056803995006,24.3968253968254,24.1269841269841
IDA,0.239400584795322,15.1761695906433,1319.34886695906,1405.44444444444,9.29751461988304,-2.74872076023392,84.1750730994152,81.186951754386,56.7132675438597,7.07330567081604,0.993084370677732,12.2406639004149,0.0318118948824343,22.0663900414938,25.6153846153846,25.6153846153846
IFP,-1.68888888888889,25.2,1294.48888888889,1368.46666666667,11.4666666666667,6.93333333333333,70.9111111111111,79.5333333333333,42.8666666666667,1.07142857142857,0.0,21.6428571428571,0.0,6.5,,
ILM,3.16803811173668,14.8472909450767,1197.30047006432,1293.50971053934,9.20763236021771,-2.29168728352301,93.1271029193469,87.6689139040079,63.6139905987135,9.29246544806063,1.03209986625056,13.7356219349086,0.0802496656263932,22.4453856442265,29.7105263157895,29.7105263157895
IMT,0.533810660302307,14.0230708035004,1393.49801113763,1521.56085918854,6.92760540970565,-6.56563245823389,80.170246618934,73.0708035003978,52.1201272871917,6.51923076923077,2.68589743589744,6.78205128205128,0.0769230769230769,33.1153846153846,14.5,14.5
IND,3.86960515160079,14.8617262775564,1254.67359128285,1353.79666044494,9.05148564798466,-0.991605710538264,131.646289663522,126.7856631186,102.872451193059,9.01168464304057,1.24627632254751,16.797508988187,0.0242681047765794,17.5814072932717,24.2643312101911,24.2070063694268
INL,-3.56354916067146,16.1143085531575,1455.60111910472,1530.2829736211,5.66506794564348,-10.6730615507594,75.3693045563549,68.259792166267,46.480415667466,1.19847328244275,1.97709923664122,9.83206106870229,0.0,34.0381679389313,24.6666666666667,24.6666666666667
IPT,0.900796524257784,15.415640839971,1095.46560463432,1144.54598117306,8.13975380159305,-1.8356263577118,58.1383055756698,55.4018826937002,31.8464880521361,7.20171673819743,2.02145922746781,19.4248927038627,0.0,20.2575107296137,42.5,42.5
ISN,-0.720323182100684,24.5149160969546,1162.00963331262,1242.02517091361,8.42821628340584,-3.0969546302051,120.220323182101,117.843691733996,84.9005593536358,9.824,2.92,14.59,0.016,16.064,35.2727272727273,35.2727272727273
ISP,5.05941291585127,12.0384344422701,1187.36861056751,1338.9426223092,6.83968688845401,-1.56281800391389,136.916242661448,130.294011741683,111.415890410959,12.629202207727,0.751128951329654,13.9789262418465,0.143000501756147,16.8233818364275,22.8688524590164,22.7868852459016
ITH,2.65109325359746,20.0274715006541,1213.70659689778,1297.16707157541,8.42963931975332,-3.39544010465334,85.5514857036068,79.504952345356,51.0478415249486,9.18687430478309,1.81423804226919,15.6284760845384,0.0745272525027809,19.3147942157953,46.1428571428571,46.1428571428571
ITO,-1.83668976763147,9.25356706074195,1400.02992254382,1377.9115368936,7.40627802690583,-2.14423155320016,64.1143905421932,63.8068487566245,47.1470036689768,6.77558569667078,1.07891491985203,1.39950678175092,0.0,23.8051787916153,12.5,12.1818181818182
JAC,3.33341083468961,19.127412229714,1207.17356428738,1385.43501511276,10.2305277842362,-0.71808881655429,126.348872355266,122.297372704022,92.9394326900721,8.48235294117647,1.42476780185759,18.7764705882353,0.0229102167182663,15.5114551083591,27.82,27.82
