tail_num,tail_num_avg_dep_delay,tail_num_avg_taxi_out,tail_num_avg_wheels_off,tail_num_avg_wheels_on,tail_num_avg_taxi_in,tail_num_avg_arr_delay,tail_num_avg_crs_elapsed_time,tail_num_avg_actual_elapsed_time,tail_num_avg_air_time,tail_num_avg_carrier_delay,tail_num_avg_weather_delay,tail_num_avg_nas_delay,tail_num_avg_security_delay,tail_num_avg_late_aircraft_delay,tail_num_avg_total_add_gtime,tail_num_avg_longest_add_gtime
N285WN,7.691,12.2065,1369.10875,1449.0525,5.02325,0.717,117.6925,110.7185,93.48875,12.5402298850575,1.15804597701149,7.20545977011494,0.155172413793103,18.7112068965517,19.5,19.5
N286AY,6.50202429149798,21.2712550607287,1294.004048583,1614.43319838057,9.23886639676113,-1.46153846153846,234.773279352227,226.80971659919,196.2995951417,21.5098039215686,0.274509803921569,14.9607843137255,0.313725490196078,8.76470588235294,6.0,6.0
N286NN,1.76126126126126,19.6216216216216,1330.62162162162,1459.97297297297,9.87837837837838,-3.21621621621622,117.612612612613,112.635135135135,83.1351351351351,7.62068965517241,1.48275862068966,19.7241379310345,0.0,10.3448275862069,65.0,65.0
N286SY,7.29611384783799,20.7750410509031,1348.16201423098,1481.50410509031,7.36179529282978,0.238095238095238,130.354132457581,123.296113847838,95.1592775041051,7.01680672268908,3.17927170868347,14.1204481792717,0.061624649859944,24.750700280112,13.8333333333333,13.8333333333333
N286VA,4.3972543972544,21.3625053625054,1390.26941226941,1495.17846417846,9.51866151866152,1.64392964392964,212.177177177177,209.423852423852,178.542685542686,8.83236994219653,0.308285163776493,18.5934489402697,0.250481695568401,11.8227360308285,18.1818181818182,18.1818181818182
N286WN,8.64002011060835,12.2071392659628,1366.03066867773,1442.42232277526,5.22398190045249,1.6131221719457,117.677224736048,110.650326797386,93.2192056309703,12.6989100817439,0.833787465940054,6.42506811989101,0.313351498637602,19.7057220708447,25.7272727272727,25.7272727272727
N287AK,2.39318550567875,19.7712276906436,1335.96322336398,1490.09951325041,8.78799351000541,-2.44726879394267,231.083829096809,226.243374797188,197.684153596539,8.23692307692308,0.621538461538461,18.9815384615385,0.0,10.4738461538462,16.5555555555556,16.5555555555556
N287AY,0.363636363636364,21.9280303030303,1290.74242424242,1644.56060606061,8.89772727272727,-8.00378787878788,251.875,243.507575757576,212.681818181818,11.7857142857143,0.0,14.0357142857143,0.0,8.96428571428571,9.0,9.0
N287NN,5.49295774647887,20.830985915493,1306.50704225352,1409.88732394366,9.02816901408451,2.90140845070423,134.422535211268,131.830985915493,101.971830985915,17.5454545454545,0.0909090909090909,15.8181818181818,0.0,18.0,18.0,18.0
N287SY,6.55283224400872,20.6988017429194,1345.02069716776,1477.3022875817,7.22549019607843,-0.760348583877996,128.292483660131,120.979302832244,93.0550108932462,5.13271604938272,4.96296296296296,15.4135802469136,0.0308641975308642,23.7808641975309,19.5,19.5
N287WN,8.2353391126976,12.0344212136665,1370.52728199898,1443.04920958695,5.19658337582866,1.39469658337583,115.996940336563,109.156297807241,91.925293217746,11.9554317548747,0.94150417827298,6.38022284122563,0.246518105849582,19.3105849582173,18.1111111111111,18.1111111111111
N288AK,1.47087912087912,19.9901098901099,1351.97472527473,1476.90934065934,8.92582417582418,-3.51758241758242,227.06978021978,222.081318681319,193.165384615385,6.57394366197183,0.658450704225352,18.5176056338028,0.0316901408450704,10.5739436619718,16.8181818181818,16.8181818181818
N288AY,3.16666666666667,21.6628787878788,1285.58712121212,1618.37121212121,9.39772727272727,-5.33712121212121,240.075757575758,231.57196969697,200.511363636364,14.15,2.525,15.2,0.0,10.875,58.0,58.0
N288NN,8.04065040650407,19.0731707317073,1353.09756097561,1471.48780487805,9.73983739837398,2.63414634146341,129.032520325203,123.626016260163,94.8130081300813,9.5,3.91666666666667,9.54166666666667,0.0,27.0416666666667,29.0,29.0
N288SY,5.89417091114884,20.0430107526882,1334.13865308432,1474.83984153933,7.28862478777589,-2.31578947368421,131.296547821166,123.086587436333,95.7549518958687,8.46619217081851,3.86476868327402,15.5053380782918,0.0,20.7758007117438,25.8333333333333,25.8333333333333
N288WN,8.05331966162522,12.2355806203538,1381.75519097667,1453.19482184055,5.08869520635734,1.18918226095873,117.099461676493,110.235324275827,92.9110484491156,11.5791726105563,0.589158345221113,6.93009985734665,0.0813124108416548,19.6376604850214,19.2222222222222,19.2222222222222
N28912,7.61006289308176,21.7798742138365,1459.59119496855,1562.16352201258,9.87421383647799,4.07547169811321,230.842767295597,227.308176100629,195.654088050314,21.3611111111111,0.861111111111111,12.5277777777778,0.0,3.13888888888889,,
N289AY,5.98496240601504,22.6654135338346,1294.43233082707,1624.59398496241,9.58646616541353,0.353383458646617,235.639097744361,230.007518796992,197.755639097744,15.6271186440678,0.898305084745763,14.0169491525424,0.0,13.3389830508475,39.0,39.0
N289CT,8.5068423720223,12.2430309173847,1369.01773948302,1445.67460719716,5.27065382665991,1.81702990369995,118.082868727826,111.393056259503,93.8793715154587,10.8226857887875,1.1251629726206,7.29856584093872,0.21903520208605,18.8031290743155,17.3333333333333,17.3333333333333
N289SY,7.21046228710462,20.0523114355231,1355.61253041363,1491.42153284672,7.32238442822384,-0.489659367396594,127.136861313869,119.436739659367,92.0620437956204,8.36860068259386,3.56996587030717,14.4436860068259,0.139931740614334,26.5972696245734,31.4285714285714,31.4285714285714
N290AK,2.34531059683313,19.6004872107186,1334.01461632156,1474.42204628502,8.71315468940317,-3.23751522533496,229.955542021924,224.372716199756,196.059074299635,10.4807692307692,0.392307692307692,16.9730769230769,0.107692307692308,11.0384615384615,18.7647058823529,18.7647058823529
N290AY,4.8188679245283,23.011320754717,1298.2641509434,1637.31320754717,8.58867924528302,-2.75471698113208,241.166037735849,233.592452830189,201.992452830189,21.265306122449,0.122448979591837,15.6734693877551,0.0,5.81632653061224,28.0,28.0
N290SY,5.68736017897092,19.4988814317673,1348.48993288591,1485.98993288591,7.28131991051454,-1.88590604026846,126.752796420582,119.179530201342,92.3993288590604,8.09688581314879,4.01730103806228,15.356401384083,0.0,19.9653979238754,29.4285714285714,29.4285714285714
N290WN,8.72443031266561,12.2700052994171,1379.68415474298,1452.47403285639,5.11844197138315,2.01218865924748,117.155537890832,110.443296237414,93.0548489666137,12.4455445544554,0.56011315417256,6.17680339462518,0.195190947666195,21.1527581329562,23.875,23.875
N29124,5.90133333333333,21.1493333333333,1338.73244444444,1394.41777777778,8.72177777777778,-1.08533333333333,293.574222222222,286.587555555556,256.716444444444,11.7756097560976,1.97560975609756,18.7463414634146,0.0,12.409756097561,38.1666666666667,38.1666666666667
N29129,5.32460317460317,21.118253968254,1334.28253968254,1372.59761904762,8.61984126984127,-1.86984126984127,299.485714285714,292.29126984127,262.553174603175,10.1318181818182,2.02272727272727,19.1272727272727,0.0,15.3590909090909,30.5,30.5
N291AY,1.34509803921569,23.0352941176471,1284.83529411765,1624.98431372549,9.85882352941177,-4.50588235294118,249.011764705882,243.160784313725,210.266666666667,10.2631578947368,1.42105263157895,19.2631578947368,0.0,3.94736842105263,21.3333333333333,21.3333333333333
N291SY,5.59965537047674,20.7754164273406,1352.82825962091,1482.80068925905,7.46122917863297,-1.13957495692131,127.923607122343,121.184376794945,92.9477311889719,8.17763157894737,3.15131578947368,15.9967105263158,0.0,19.7335526315789,19.5,19.5
N291WN,8.002304737516,12.0460947503201,1380.29039692702,1464.77695262484,5.09295774647887,1.09526248399488,117.32138284251,110.414340588988,93.2752880921895,13.0925110132159,0.627019089574156,6.18502202643172,0.273127753303965,20.1879588839941,22.0,22.0
N292AK,2.57099697885196,19.8972809667674,1353.87613293051,1474.44033232628,9.19939577039275,-2.46148036253776,241.11329305136,236.08081570997,206.98413897281,7.53711790393013,0.803493449781659,18.6855895196507,0.0786026200873362,10.764192139738,17.25,17.25
N292AY,2.63541666666667,22.7777777777778,1309.75,1585.68055555556,8.20486111111111,-3.66666666666667,222.173611111111,215.871527777778,184.888888888889,13.2745098039216,0.0,13.5098039215686,0.0392156862745098,8.15686274509804,27.3333333333333,27.3333333333333
N292JB,7.53402674591382,17.717087667162,1342.15037147103,1420.87221396731,6.78751857355126,3.26032689450223,115.04249628529,110.768796433878,86.2641901931649,16.2392156862745,0.841830065359477,13.040522875817,0.0797385620915033,20.3686274509804,22.7272727272727,22.3636363636364
N292PQ,2.70848345889289,21.7141931302657,1342.6425793908,1462.57064160726,7.6049902786779,-5.17530784186649,117.50388852884,109.649060272197,80.3298768632534,9.75641025641026,1.58119658119658,16.9017094017094,0.0,16.5961538461538,23.2222222222222,23.2222222222222
N292SY,5.95101553166069,19.2980884109916,1348.33751493429,1486.73655913978,7.25448028673835,-2.08542413381123,125.508960573477,117.472520908005,90.9199522102748,5.14338235294118,5.01102941176471,16.3088235294118,0.0661764705882353,22.5441176470588,33.2,33.2
